"ASV","s.inflammation_no_surgery","s.inflammation_with_surgery","s.no_inflammation_no_surgery","s.no_inflammation_with_surgery","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"5c7ba72e6c56f0d6ba3e202a8b17dcbc",0,0,1,0,3,0.704809365880517,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerofilum","s__uncultured_bacterium"
"cfd9d52746953549d40211a1807bb8c4",0,0,1,0,3,0.684061553763629,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Fournierella",NA
"071d306020da8059101d13dfef6f1bdc",1,0,1,0,6,0.907616630133633,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured","s__uncultured_organism"
"4a89cac13e971f8e928f1e979fb707ae",1,0,1,0,6,0.905170173537858,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum",NA
"c1a5986dd95b9ee50e347723be159d4d",1,0,1,0,6,0.98092126337897,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA
"599f9468ff7781407bff160b574e0ddf",1,0,1,0,6,0.93693228675315,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA
"a94b8482c95ea2813b5350e49b10fdc0",0,0,1,0,3,0.570780535455353,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__Fenollaria","s__uncultured_bacterium"
"2cd4cb797e5e442fa3cba1e706633807",0,0,1,0,3,0.702450631849966,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__Peptococcus","s__uncultured_bacterium"
"df7d69990a6948a1db1abac45d00f6a2",0,0,1,0,3,0.707106781186548,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Pseudoflavonifractor","s__uncultured_bacterium"
"1da020eec05e40b127ee9b034ca1a339",0,0,1,0,3,0.812770853228151,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-009",NA
"60a470196b08b63ee5f9106210276ef7",1,0,1,0,6,0.809584826495412,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter",NA
"c536cb40d0686dfe760ceab3b90146a2",0,0,1,0,3,0.877622695188535,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Moryella","s__human_gut"
"33f91e62a000ed593c352f0c7f976f8a",1,0,1,0,6,0.883661186601117,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_ND3007_group","s__metagenome"
"e679760656821248d941dcec0b1ca39e",1,0,1,0,6,0.960484486309596,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_eligens_group",NA
"86acaa700437671e9f8c38b903e9b0c1",1,0,1,0,6,0.87194849116603,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_ventriosum_group","s__uncultured_rumen"
"b3b7fed733f18113d8f9d93f19bb0572",1,0,1,0,6,0.713201766345531,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066575","s__uncultured_bacterium"
"d0f21126697b2318d28dd79e2ffe491b",1,0,1,0,6,0.93579331212877,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA
"b91f30e253a2f78f0722bbdc236b9f8a",1,0,1,0,6,0.821747366457333,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_FCS020_group","s__uncultured_organism"
"a072434160b7a3761ce5b113c79a1a62",1,0,1,0,6,0.702419505362143,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004",NA
"34ecf8ad93a52ec913a59abaca0d39ca",1,0,1,0,6,0.846289760929971,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__uncultured","s__uncultured_Eubacterium"
"5c1cfa1c07937831fb93439b4631b486",1,0,1,1,13,0.796191497521526,0.03,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_gauvreauii_group",NA
